Key,Sensitivity,Factor,Case
CO - near_field,10.237526631916502,CO,near_field
CO - near_field,15.793063034312281,CO,near_field
CO - near_field,10.671826142388046,CO,near_field
CO - near_field,10.520601617630001,CO,near_field
CO - near_field,10.272169800113142,CO,near_field
CO - near_field,8.018288162124424,CO,near_field
CO - near_field,10.675231170246883,CO,near_field
CO - near_field,8.333701824467335,CO,near_field
CO - near_field,22.59419761210678,CO,near_field
CO - near_field,9.119008176069759,CO,near_field
CO - near_field,9.307936249352519,CO,near_field
CO - near_field,20.759037318043358,CO,near_field
CO - near_field,16.447664213047208,CO,near_field
CO - near_field,12.545621248798513,CO,near_field
CO - near_field,12.16582821078968,CO,near_field
CO - near_field,13.88292011254046,CO,near_field
CO - near_field,16.831758302455984,CO,near_field
CO - near_field,7.636394870871142,CO,near_field
CO - near_field,8.827842590409466,CO,near_field
CO - near_field,9.857999153702416,CO,near_field
CO - near_field,11.056404657761371,CO,near_field
CO - near_field,8.106280552035457,CO,near_field
CO - near_field,9.132817219423163,CO,near_field
CO - near_field,14.38208837199197,CO,near_field
CO - near_field,16.460237784262535,CO,near_field
CO - near_field,10.275316579409965,CO,near_field
CO - near_field,13.655662454552392,CO,near_field
CO - near_field,7.10749085773712,CO,near_field
CO - near_field,17.228608176511198,CO,near_field
CO - near_field,8.719346917956514,CO,near_field
CO - near_field,10.544062805788132,CO,near_field
CO - near_field,15.095766746471362,CO,near_field
CO - near_field,7.490754215055685,CO,near_field
CO - near_field,7.893141832411259,CO,near_field
CO - near_field,12.312973319059028,CO,near_field
CO - near_field,7.983935196186319,CO,near_field
CO - near_field,14.654841811960205,CO,near_field
CO - near_field,9.533439622384714,CO,near_field
CO - near_field,7.392077238319408,CO,near_field
CO - near_field,10.793973211049945,CO,near_field
CO - near_field,9.619278402103252,CO,near_field
CO - near_field,9.458426451431228,CO,near_field
CO - near_field,13.774838609786656,CO,near_field
CO - near_field,15.335902964404841,CO,near_field
CO - near_field,15.62487964378871,CO,near_field
CO - near_field,6.9319304694100135,CO,near_field
CO - near_field,11.251718454408623,CO,near_field
CO - near_field,7.456708430214382,CO,near_field
CO - near_field,10.791360479519367,CO,near_field
CO - near_field,11.516819783700186,CO,near_field
CO - near_field,24.81490741725384,CO,near_field
CO - near_field,9.150937850508889,CO,near_field
CO - near_field,8.37526343534963,CO,near_field
CO - near_field,10.150978012982824,CO,near_field
CO - near_field,8.063971536397375,CO,near_field
CO - near_field,9.31035866989416,CO,near_field
CO - near_field,9.217545906120227,CO,near_field
CO - near_field,11.990906174475578,CO,near_field
CO - near_field,15.299668631517104,CO,near_field
CO - near_field,7.147816334428367,CO,near_field
CO - near_field,13.774838609786656,CO,near_field
CO - near_field,13.906008436966916,CO,near_field
CO - near_field,11.132615748719275,CO,near_field
CO - near_field,11.431917526125497,CO,near_field
CO - near_field,9.16428663729433,CO,near_field
CO - near_field,23.165816557087187,CO,near_field
CO - near_field,12.662776599465376,CO,near_field
CO - near_field,15.014498372299006,CO,near_field
CO - near_field,9.15943507136679,CO,near_field
CO - near_field,19.811150586157744,CO,near_field
CO - near_field,13.590348283958207,CO,near_field
CO - near_field,9.587652341216915,CO,near_field
CO - near_field,10.460769877744363,CO,near_field
CO - near_field,8.567368245508275,CO,near_field
CO - near_field,14.248280461297385,CO,near_field
CO - near_field,17.041245924529555,CO,near_field
CO - near_field,11.230861975629434,CO,near_field
CO - near_field,8.174955720321543,CO,near_field
CO - near_field,8.782100800317204,CO,near_field
CO - near_field,12.943123244174448,CO,near_field
CO - near_field,13.05607502019888,CO,near_field
CO - near_field,11.28649415331036,CO,near_field
CO - near_field,8.88297403874051,CO,near_field
CO - near_field,14.500237022122162,CO,near_field
CO - near_field,12.943123244174448,CO,near_field
CO - near_field,11.142701816983285,CO,near_field
CO - near_field,8.827842590409466,CO,near_field
CO - near_field,8.651672628913756,CO,near_field
CO - near_field,10.460769877744363,CO,near_field
CO - near_field,11.732825590395539,CO,near_field
CO - near_field,8.80418441850557,CO,near_field
CO - near_field,8.744799080737636,CO,near_field
CO - near_field,9.088585091458173,CO,near_field
CO - near_field,9.95348008456119,CO,near_field
CO - near_field,11.331164095951836,CO,near_field
CO - near_field,9.075535951286174,CO,near_field
CO - near_field,11.965946864134507,CO,near_field
CO - near_field,24.81490741725384,CO,near_field
CO - near_field,8.010845845690623,CO,near_field
CO - near_field,9.443537909524457,CO,near_field
CO - far_field,9.990355226956812,CO,far_field
CO - far_field,7.80523880459402,CO,far_field
CO - far_field,5.393429762300594,CO,far_field
CO - far_field,5.583016271381303,CO,far_field
CO - far_field,12.297291050091996,CO,far_field
CO - far_field,5.1254031265972415,CO,far_field
CO - far_field,5.747505135151798,CO,far_field
CO - far_field,4.920519690453775,CO,far_field
CO - far_field,5.206528463657953,CO,far_field
CO - far_field,5.345109344025675,CO,far_field
CO - far_field,4.975745399644306,CO,far_field
CO - far_field,5.505127367795088,CO,far_field
CO - far_field,5.393429762300594,CO,far_field
CO - far_field,5.010233260338215,CO,far_field
CO - far_field,6.029419962761469,CO,far_field
CO - far_field,6.255530553701768,CO,far_field
CO - far_field,6.141977995960843,CO,far_field
CO - far_field,5.742165037352566,CO,far_field
CO - far_field,5.091686824958897,CO,far_field
CO - far_field,7.079906292570327,CO,far_field
CO - far_field,6.434679681217398,CO,far_field
CO - far_field,8.198256411569927,CO,far_field
CO - far_field,6.206384536553466,CO,far_field
CO - far_field,5.544188941559074,CO,far_field
CO - far_field,4.958497382992323,CO,far_field
CO - far_field,6.653796496797023,CO,far_field
CO - far_field,7.159865433914464,CO,far_field
CO - far_field,12.178745307934454,CO,far_field
CO - far_field,6.226724894019278,CO,far_field
CO - far_field,6.527163302028795,CO,far_field
CO - far_field,5.209285484260567,CO,far_field
CO - far_field,8.44557239429006,CO,far_field
CO - far_field,4.815533037489364,CO,far_field
CO - far_field,4.795450253337357,CO,far_field
