Column_Name,Core_Name,Definition,Molecular_Formula,CAS_Number,Specificity,Category,A,n,B,kOH_source,kOH_source_link,GC_id,GC_rate_law,EF,OHR_Class,notes
NO,NO,Nitric oxide,NO,10102-43-9,S,Nitrogen Species,3.31E-11,-0.3,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:96,NO,"GCJPLPR_abab(7.00e-31, 2.6, 3.60e-11, 0.1, 0.6, TEMP)",,NOx,
NOy,NOy,Total Reactive Nitrogen,,,M,Nitrogen Species,,,,,,,,,,
NO2_NCAR,NO2,Nitrogen dioxide,NO2,10102-44-0,S,Nitrogen Species,2.70E-11,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2012TRO6387-6393:6,NO2,"GCJPLPR_aba(1.80e-30, 3.0, 2.8e-11, 0.6, TEMP)",,NOx,
O3,O3,Ozone,O3,10028-15-6,S,"Oxygen Species, Hydrogen Species and Radicals",1.70E-12,0.0,7.82,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:59,O3,,,O3,
Carbon_Monoxide_mixing_ratio,CO,Carbon monoxide,CO,630-08-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species,1.50E-13,0.0,0.0,Xu,,CO,"GC_OHCO_a(1.50e-13, TEMP)",,CO,
Methane_mixing_ratio,CH4,Methane,CH4,74-82-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",4.16E-13,2.18,10.24,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2005SRI/SU1857-1863:2,CH4,"GCARR_ac(2.45e-12, -1775.0, TEMP)",,CH4,
CO2_mixing_ratio,CO2,Carbon dioxide,CO2,124-38-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
PNs,PNs,Sum of Peroxynitrates,,,M,Nitrogen Species,,,,,,,,,,
ANs_UCB,ANs,Sum of Akylnitrates,,,M,Nitrogen Species,,,,,,,,,,
H2O2_CIT,H2O2,Hydrogen peroxide,H2O2,7722-84-1,S,"Oxygen Species, Hydrogen Species and Radicals",2.90E-12,0.0,1.33,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:56,H2O2,1.80E-12,,H2O2,
HCN_CIT,HCN,Hydrogen cyanide,HCN,74-90-8,S,Nitrogen Species,,,,,,,,,,
PAA_CIT,PAA,Peracetic Acid,C2H4O3,79-21-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
HNO3_CIT,HNO3,Nitric acid,HNO3,7697-37-2,S,Nitrogen Species,1.50E-13,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:91,HNO3,"GC_OHHNO3_acacac(2.41e-14, 460.0, 2.69e-17, 2199.0, 6.51e-34, 1335.0, TEMP)",,NOy,
