Column_Name,Core_Name,Definition,Molecular_Formula,CAS_Number,Specificity,Category,A,n,B,kOH_source,kOH_source_link,GC_id,GC_rate_law,EF,OHR_Class,notes
CO2_MixingRatio,CO2,Carbon dioxide,CO2,124-38-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
CO_DACOM,CO,Carbon monoxide,CO,630-08-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species,1.50E-13,0.0,0.0,Xu,,CO,"GC_OHCO_a(1.50e-13, TEMP)",,CO,
CH4_DACOM,CH4,Methane,CH4,74-82-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",4.16E-13,2.18,10.24,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2005SRI/SU1857-1863:2,CH4,"GCARR_ac(2.45e-12, -1775.0, TEMP)",,CH4,
N2O_DACOM,N2O,Nitrous oxide,N2O,10024-97-2,S,Nitrogen Species,,,,,,,,,,
CH2O_DFGAS,CH2O,Formaldehyde,CH2O,50-00-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species,1.40E-12,1.63,4.41,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2005VAS/DAV98-109:1,CH2O,"GCARR_ac(5.50e-12, 125.0, TEMP)",,OVOCs,
NOy_ESRL,NOy,Total Reactive Nitrogen,,,M,Nitrogen Species,,,,,,,,,,
NO_ESRL,NO,Nitric oxide,NO,10102-43-9,S,Nitrogen Species,3.31E-11,-0.3,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:96,NO,"GCJPLPR_abab(7.00e-31, 2.6, 3.60e-11, 0.1, 0.6, TEMP)",,NOx,
O3_ESRL,O3,Ozone,O3,10028-15-6,S,"Oxygen Species, Hydrogen Species and Radicals",1.70E-12,0.0,7.82,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:59,O3,,,O3,
NO2_TDLIF,NO2,Nitrogen dioxide,NO2,10102-44-0,S,Nitrogen Species,2.70E-11,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2012TRO6387-6393:6,NO2,"GCJPLPR_aba(1.80e-30, 3.0, 2.8e-11, 0.6, TEMP)",,NOx,
PNs_TDLIF,PNs,Sum of Peroxynitrates,,,M,Nitrogen Species,,,,,,,,,,
ANs_TDLIF,ANs,Sum of Akylnitrates,,,M,Nitrogen Species,,,,,,,,,,
PAN_GTCIMS,PAN,Peroxyacetyl nitrate,C2H3NO5,2278-22-0,S,Nitrogen Species,,,,,,,,,,
PPN_GTCIMS,PPN,Peroxylpropionyl nitrate,C3H5NO5,5796-89-4,S,Nitrogen Species,,,,,,,,,,
SO2_GTCIMS,SO2,Sulfur dioxide,SO2,7446-09-05,S,Sulfur Species,1.31E-12,-0.7,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:181,SO2,"GCJPLPR_aba(3.30e-31, 4.3, 1.6e-12, 0.6, TEMP)",,other,
HCl_GTCIMS,HCl,Hydrogen chloride,HCl,7647-01-0,S,Halogens and Halogenates,,,,,,,,,,
HNO4_GTCIMS,HNO4,Peroxynitric acid,HNO4,26404-66-0,S,Nitrogen Species,,,,,,,,,,
OH_HOx,OH,Hydroxyl radical,OH,3352-57-6,S,"Oxygen Species, Hydrogen Species and Radicals",,,,,,,,,,
HO2_HOx,HO2,Hydroperoxy radical,HO2,3170-83-0,S,"Oxygen Species, Hydrogen Species and Radicals",,,,,,,,,,
