Column_Name,Core_Name,Definition,Molecular_Formula,CAS_Number,Specificity,Category,A,n,B,kOH_source,kOH_source_link,GC_id,GC_rate_law,EF,OHR_Class,notes
NO3_AMS,NO3,Nitrate radical,NO3,12033-49-7,S,Nitrogen Species,,,,,,,,,,
H_C_AMS,H,Hydrogen atom,H,12385-13-6,S,"Oxygen Species, Hydrogen Species and Radicals",,,,,,,,,,
Ethane_AWAS,Ethane,Ethane,C2H6,74-84-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",8.53E-13,2.22,3.1,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004KRA/MIC5643-5648:3,C2H6,"GCARR_ac(7.66e-12, -1020.0, TEMP)",,alkane,
Ethene_AWAS,Ethene,Ethene,C2H4,74-85-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",8.80E-12,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1997DEM/SAN1-266:99,C2H4,"GCJPLPR_abab(1.10e-28, 3.5, 8.4e-12, 1.75, 0.5, TEMP)",,alkene,
Ethyne_AWAS,Ethyne,Ethyne,C2H2,74-86-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",7.30E-12,0.0,5.3,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2007MCK/BLI4043-4055:1,C2H2,"GCJPLPR_abab(5.50e-30, 0.0, 8.3e-13, -2.0, 0.5, TEMP)",,alkyne,
x1Butene_AWAS,x1Butene,1-Butene,C4H8,106-98-9,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",6.54E-12,0.0,-3.89,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:58,PRPE,"GCJPLPR_abab(4.60e-27, 4.0, 2.6e-11, 1.3, 0.5, TEMP)",,alkene,
Cyclopentane_AWAS,CycPentane,Cyclopentane,C5H10,287-92-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",2.67E-11,0.0,4.23,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:11,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
x1Hexene_AWAS,x1Hexene,1-Hexene,C6H12,592-41-6,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",4.60E-11,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2018SHA/LID4039-4054:21,PRPE,"GCJPLPR_abab(4.60e-27, 4.0, 2.6e-11, 1.3, 0.5, TEMP)",,alkene,
Cyclohexane_CHB_AWAS,CycHexane,Cyclohexane,C6H12,110-82-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",3.10E-11,0.0,3.92,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:12,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
Methylcyclohexane_CHB_AWAS,MeCycHexane,Methylcyclohexane,C7H14,108-87-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.85E-11,0.0,1.62,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2018BEJ/WIN544-555:1,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
Ethylbenzene_AWAS,EthBenzene,Ethylbenzene,C8H10,100-41-4,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,7.51E-12,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:51,,,,aromatic,
nNonane_AWAS,nNonane,n-Nonane,C9H20,111-84-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.11E-11,1.19,0.33,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2009SIV/MIC5047-5060:22,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
Isopropylbenzene_AWAS,iPropBenzene,Isopropylbenzene,C9H12,98-82-8,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,,,,,,,,,,
nDecane_AWAS,nDecane,n-Decane,C10H22,124-18-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.47E-11,1.09,0.7,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2009SIV/MIC5047-5060:23,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
CO2_PICARRO,CO2,Carbon dioxide,CO2,124-38-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
Methane_PICARRO,CH4,Methane,CH4,74-82-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",4.16E-13,2.18,10.24,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2005SRI/SU1857-1863:2,CH4,"GCARR_ac(2.45e-12, -1775.0, TEMP)",,CH4,
CO_PICARRO,CO,Carbon monoxide,CO,630-08-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species,1.50E-13,0.0,0.0,Xu,,CO,"GC_OHCO_a(1.50e-13, TEMP)",,CO,
N2O_QCL,N2O,Nitrous oxide,N2O,10024-97-2,S,Nitrogen Species,,,,,,,,,,
NH3,NH3,Ammonia,NH3,7664-41-7,S,Nitrogen Species,,,,,,,,,,
NO,NO,Nitric oxide,NO,10102-43-9,S,Nitrogen Species,3.31E-11,-0.3,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:96,NO,"GCJPLPR_abab(7.00e-31, 2.6, 3.60e-11, 0.1, 0.6, TEMP)",,NOx,
NO2,NO2,Nitrogen dioxide,NO2,10102-44-0,S,Nitrogen Species,2.70E-11,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2012TRO6387-6393:6,NO2,"GCJPLPR_aba(1.80e-30, 3.0, 2.8e-11, 0.6, TEMP)",,NOx,
O3,O3,Ozone,O3,10028-15-6,S,"Oxygen Species, Hydrogen Species and Radicals",1.70E-12,0.0,7.82,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:59,O3,,,O3,
PAN,PAN,Peroxyacetyl nitrate,C2H3NO5,2278-22-0,S,Nitrogen Species,,,,,,,,,,
PPN,PPN,Peroxylpropionyl nitrate,C3H5NO5,5796-89-4,S,Nitrogen Species,,,,,,,,,,
Propyne_MixingRatio_PTR,Propyne,Propyne,C3H4,74-99-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",5.86E-12,0.0,-1.27,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:90,,,,alkyne,
