CoreName,Definition,Chemical Formula,CAS Number,Specificity,Category
H2,Hydrogen,H2,1333-74-0,S,"Oxygen Species, Hydrogen Species and Radicals"
O2,Oxygen,O2,7782-44-7,S,"Oxygen Species, Hydrogen Species and Radicals"
O2toN2ratio,Ratio of Oxygen to Nitrogen,N/A,N/A,NA,"Oxygen Species, Hydrogen Species and Radicals"
APO,Atmospheric Potential Oxygen (O2 + 1.1 x (CO2 - 350)),N/A,N/A,NA,"Oxygen Species, Hydrogen Species and Radicals"
HO2,Hydroperoxy radical,HO2,3170-83-0,S,"Oxygen Species, Hydrogen Species and Radicals"
CH3O2,Methylperoxy radical,CH3O2,2143-58-0,S,"Oxygen Species, Hydrogen Species and Radicals"
RO2,Sum of Organic Peroxy radicals,N/A,N/A,M,"Oxygen Species, Hydrogen Species and Radicals"
HO2AndRO2,Sum of Hydroperoxy radical and Organic Peroxy radicals,N/A,N/A,M,"Oxygen Species, Hydrogen Species and Radicals"
OH,Hydroxyl radical,OH,3352-57-6,S,"Oxygen Species, Hydrogen Species and Radicals"
OHR,OH Reactivity - proxy for OH loss frequency or a measure of OH oxidation capacity,N/A,N/A,NA,"Oxygen Species, Hydrogen Species and Radicals"
H2O2,Hydrogen peroxide,H2O2,7722-84-1,S,"Oxygen Species, Hydrogen Species and Radicals"
O3,Ozone,O3,10028-15-6,S,"Oxygen Species, Hydrogen Species and Radicals"
O1D,O(1D),O,,S,"Oxygen Species, Hydrogen Species and Radicals"
O3P,O(3P),O,,S,"Oxygen Species, Hydrogen Species and Radicals"
H,Hydrogen atom,H,12385-13-6,S,"Oxygen Species, Hydrogen Species and Radicals"
HCO,Formyl radical,HCO,2597-44-6,S,"Oxygen Species, Hydrogen Species and Radicals"
CH3,Methyl radical,CH3,2229-07-4,S,"Oxygen Species, Hydrogen Species and Radicals"
CH3O,Methoxy radical,CH3O,2143-68-2,S,"Oxygen Species, Hydrogen Species and Radicals"
C2H5O,Ethoxy radical,C2H5O,2154-50-9,S,"Oxygen Species, Hydrogen Species and Radicals"
CH3COO2,Peroxyacetyl radical,C2H3O3,36709-10-1,S,"Oxygen Species, Hydrogen Species and Radicals"
CH3COO,Acetoxy radical,C2H3O2,N/A,S,"Oxygen Species, Hydrogen Species and Radicals"
CH3CH2,Ethyl radical,C2H5,2025-56-1,S,"Oxygen Species, Hydrogen Species and Radicals"
CH3CO,Acetyl radical,C2H3O,3170-69-2,S,"Oxygen Species, Hydrogen Species and Radicals"
NH3,Ammonia,NH3,7664-41-7,S,Nitrogen Species
NF3,Nitrogen trifluoride,NF3,7783-54-2,S,Nitrogen Species
N2O,Nitrous oxide,N2O,10024-97-2,S,Nitrogen Species
NO,Nitric oxide,NO,10102-43-9,S,Nitrogen Species
NO2,Nitrogen dioxide,NO2,10102-44-0,S,Nitrogen Species
NO3,Nitrate radical,NO3,12033-49-7,S,Nitrogen Species
N2O5,Nitrogen pentoxide,N2O5,10102-03-01,S,Nitrogen Species
HNO2,Nitrous acid,HNO2,7782-77-6,S,Nitrogen Species
HNO3,Nitric acid,HNO3,7697-37-2,S,Nitrogen Species
HNO4,Peroxynitric acid,HNO4,26404-66-0,S,Nitrogen Species
HCN,Hydrogen cyanide,HCN,74-90-8,S,Nitrogen Species
CH3CN,Acetonitrile,C2H3N,75-05-8,S,Nitrogen Species
HNCO,Isocyanic acid,HNCO,75-13-8,S,Nitrogen Species
Acrylonitrile,Acrylonitrile,C3H3N,107-13-1,S,Nitrogen Species
MeAcrylonitrile,Methylacrylonitrile,C4H5N,126-98-7,S,Nitrogen Species
PropNitrile,Propanenitrile,C3H5N,107-12-0,S,Nitrogen Species
BenzNitrile,Benzonitrile,C7H5N,100-47-0,S,Nitrogen Species
Pyrrole,Pyrrole,C4H5N,109-97-7,S,Nitrogen Species
C4H5N,Sum of C4H5N isomers,C4H5N,N/A,M,Nitrogen Species
Pyridine,Pyridine,C5H5N,110-86-1,S,Nitrogen Species
Nitromethane,Nitromethane,CH3NO2,75-52-5,S,Nitrogen Species
ClNO2,Nitryl chloride,ClNO2,13444-90-1,S,Nitrogen Species
ClONO2,Chlorine nitrate,ClNO3,14545-72-3,S,Nitrogen Species
MeONO2,Methyl nitrate,CH3NO3,598-58-3,S,Nitrogen Species
EthONO2,Ethyl nitrate,C2H5NO3,625-58-1,S,Nitrogen Species
nPropONO2,n-Propyl nitrate,C3H7NO3,627-13-4,S,Nitrogen Species
iPropONO2,Isopropyl nitrate,C3H7NO3,1712-64-7,S,Nitrogen Species
nButONO2,n-Butyl nitrate,C4H9NO3,928-45-0,S,Nitrogen Species
x2ButONO2,2-Butyl nitrate,C4H9NO3,924-52-7,S,Nitrogen Species
iButONO2,Isobutyl nitrate,C4H9NO3,543-29-3,S,Nitrogen Species
iButONO2And2ButON O2,Sum of Isobutyl nitrate and 2- Butyl nitrate,C4H9NO3,N/A,M,Nitrogen Species
tButONO2,t-Butyl nitrate,C4H9NO3,0926-05-06,S,Nitrogen Species
nPentONO2,n-Pentyl nitrate,C5H11NO3,1002-16-0,S,Nitrogen Species
x2PentONO2,2-Pentyl nitrate,C5H11NO3,21981-48-6,S,Nitrogen Species
x3PentONO2,3-Pentyl nitrate,C5H11NO3,N/A,S,Nitrogen Species
iPentONO2,Isopentyl nitrate,C5H11NO3,543-87-3,S,Nitrogen Species
x3Me2ButONO2,3-Methyl-2-butyl nitrate,C5H11NO3,N/A,S,Nitrogen Species
x2OxoEthONO2,2-Oxoethyl nitrate,C2H3NO4,72673-15-5,S,Nitrogen Species
AcetylONO2,Acetyl nitrate,C2H3NO4,591-09-3,S,Nitrogen Species
PAN,Peroxyacetyl nitrate,C2H3NO5,2278-22-0,S,Nitrogen Species
APAN,Peroxyacryloyl nitrate,C3H3NO5,N/A,S,Nitrogen Species
PPN,Peroxylpropionyl nitrate,C3H5NO5,5796-89-4,S,Nitrogen Species
PBN,Peroxybutyryl nitrate,C4H7NO5,N/A,S,Nitrogen Species
PiBN,Peroxyisobutyric nitrate,C4H7NO5,N/A,S,Nitrogen Species
PPeN,Peroxypentyryl nitrate,C5H9NO5,N/A,M,Nitrogen Species
PBzN,Peroxybenzoyl nitrate,C7H5NO5,N/A,S,Nitrogen Species
MoPN,Methoxy Peroxyacetyl nitrate,C2H6NO6,N/A,S,Nitrogen Species
MPAN,Peroxymethacryloyl nitrate,C4H5NO5,N/A,S,Nitrogen Species
PNs,Sum of Peroxynitrates,N/A,N/A,M,Nitrogen Species
ANs,Sum of Akylnitrates,N/A,N/A,M,Nitrogen Species
NOx,Nitrogen oxides (NO + NO2),N/A,N/A,M,Nitrogen Species
