timestamp,lat,long,altitude,jNO2,jO3,pressure,temperature,wind_speed,wind_direction,OA_AMS,NO3,H,Ethane,Ethene,Ethyne,x1Butene,CycPentane,x1Hexene,CycHexane,MeCycHexane,EthBenzene,nNonane,iPropBenzene,nDecane,CO2,CH4,CO,N2O,NH3,NO,NO2,O3,PAN,PPN,Propyne,CH3CN,CH3CHO,Acetone,DMS,Furan,Isoprene,MEK,Benzene,Toluene,Monoterpenes,HFC134a,HCFC141b,HCFC22,CH3Cl,CH2Cl2,CHCl3,CH2ClCH2Cl,CH3CCl3,C2Cl4,ClBenzene,CHBrCl2,CHBr2Cl,CH3Br,CH2Br2,CHBr3,CH2ClI,CH3I,CS2,Propane,iButane,nButane,iPentane,nPentane,x2MePentane,x3MePentane,nHexane,x224TrimePentane,nHeptane,nOctane,Tricyclene,aPinene,Camphene,mpXylene,oXylene,Styrene,CH2O,Propanal,Butanal,Acrolein,x2Butenals,CH3OH,C2H5OH,iPropanol,MBO,MAC,MVK,x2MeFuran,x3MeFuran,Furfural,HCN,PropNitrile,Acrylonitrile,MeAcrylonitrile,iPropONO2,nPropONO2,HNCO,HNO3,SO2,HCl,C6H6O,C9H14O4,C10H16O3,C6H10O5,H2O
2018-07-24 19:08:19,43.5922475,243.6910196,1.208806266,0.01082605107,3.79265725e-05,883.8271919,301.7422171,3.291696751,321.3842634,,,,,,,,,,,,,,,,417.6214286,2024.282143,412.925,333.0214286,16.74496429,,,,,,0.1892754676,0.92100255,3.941794401,6.677318457,0.08004412465,0.09996147791,0.3163321315,0.4900231823,0.4286988482,0.3556640276,0.109891847,167.6,29.3,284.0,,31.6,20.05,7.0,2.61,7.35,0.39,0.85,0.29,9.3,0.69,0.48,,0.51,2.0,526.8,190.2,616.2,409.7,167.3,68.4,20.3,61.1,107.5,47.2,33.4,7.22,6.24,1.89,83.81,36.38,0.53,6709.0,137.9,95.3,96.8,,10200.0,1559.3,88.0,68.51,152.8,314.6,,1.2,,849.0,,46.7,15.7,9.67,4.05,464.6057143,4512.547143,,,100.6519048,12.41952381,4.631904762,22.45904762,11305.50393
2018-07-24 19:09:59,43.62893043,243.5766225,1.736611825,0.0121794925,4.490525321e-05,832.5811506,298.3979153,2.768361047,315.5830293,,,,,,,,,,,,,,,,406.1285714,1894.725,125.1214286,331.725,3.514625,,,42.20732143,,,0.06323256277,0.1829575394,0.9431508032,3.771380402,0.03040066117,0.05080473674,0.1692469692,0.1247541572,0.03964186589,0.03206366081,0.05711008801,106.9,23.7,228.0,,21.3,10.58,7.9,2.8,1.41,0.23,,0.23,7.9,0.79,0.29,,0.23,0.7,67.0,7.2,26.1,11.7,6.9,,0.7,1.8,2.3,2.3,2.2,1.48,,,1.98,1.4,,2120.0,17.4,33.5,7.2,,4593.0,295.3,17.7,2.38,19.9,21.8,,,,226.0,,,3.8,3.53,,286.3927273,1133.069091,,,180.7490909,9.254545455,,6.061818182,9798.680607
2018-07-24 19:11:39,43.70562696,243.5276796,2.253226205,0.01134979679,4.3200835e-05,784.6744821,294.7533739,3.188891796,242.5286993,,,,,,,,,,,,,,,,408.2178571,1887.528571,133.8071429,332.125,2.295875,,,44.7415,,,0.04866931637,0.1875757661,0.8365947762,3.573399552,0.02747765238,0.04068642555,0.1177760405,0.114531097,0.04938169784,0.03858588956,0.03665259931,111.1,22.8,234.0,,19.8,9.1,6.0,2.01,1.19,0.21,,,9.3,0.63,0.44,,0.26,,79.0,6.0,17.9,5.8,6.4,,,2.0,0.9,5.4,2.3,0.81,,,1.87,0.75,,1884.0,21.8,29.6,5.6,,4352.0,236.8,18.8,1.76,13.6,14.0,,,,236.0,,,3.0,3.94,,228.2478571,915.2592857,,,129.7967857,4.207142857,,4.140714286,10910.21071
2018-07-24 19:13:19,43.80562193,243.5349096,2.816907881,0.009308436286,3.698982607e-05,734.6189466,289.8110446,2.826140919,263.8433243,12.29295634,0.2063461122,1.564849862,,,,,,,,,,,,,407.6214286,1886.607143,130.1178571,332.3,1.824107143,,,43.45926786,,,0.04633647121,0.178859819,0.8000362899,3.255401485,0.0152372371,0.03239173336,0.100076209,0.1146644068,0.06378287572,0.03614804914,0.02523607173,108.9,25.3,231.0,,18.3,9.37,7.0,2.85,1.01,,0.32,0.24,8.4,0.93,0.41,,0.35,,75.8,5.1,14.7,6.2,4.9,,,1.5,,3.4,1.0,0.81,,,1.83,0.74,,1655.0,,25.6,2.0,,3825.0,167.0,11.1,1.39,9.6,11.1,,0.8,,208.0,,,,2.28,,,648.87,,,92.322,,,,10289.63746
2018-07-24 19:14:59,43.90619489,243.5405699,3.224542559,0.01271297929,5.038668143e-05,700.4221256,285.9722856,5.854650804,275.5245597,13.91692889,0.2744914568,1.597023654,,,,,,,,,,,,,408.7,1887.282143,125.1357143,332.3928571,1.810107143,,,45.01578571,,,0.0453521049,0.1686309329,0.8866259142,3.710175328,0.02243240542,0.02757371206,0.09595987226,0.1116741134,0.04329888948,0.03344838254,0.02130185261,110.5,25.1,231.0,,18.2,7.96,5.2,2.57,1.13,,,,8.5,0.62,0.45,,0.37,0.6,93.3,7.3,17.2,9.5,4.5,,,,1.0,27.2,,0.82,,,2.07,0.85,0.15,1874.0,,25.3,6.1,,4522.0,308.9,20.4,3.46,17.8,57.1,,0.5,,233.0,,,,2.52,,145.0964286,800.875,,,,3.242857143,,,11456.07321
2018-07-24 19:16:39,44.01883311,243.5464483,3.62733388,0.01233918429,4.990269e-05,667.3445281,282.6630449,6.437693061,253.7315245,18.59126356,0.5217293753,1.559827462,,,,,,,,,,,,,408.55,1890.278571,150.8928571,332.2785714,1.761714286,,,46.56964286,,,0.05078682168,0.2112289088,0.8125745418,3.820619982,0.01130956317,0.03453206997,0.06021931935,0.1211306324,0.05989832746,0.04081936662,0.01752596572,115.1,26.9,244.0,,19.0,8.38,5.0,2.73,0.94,0.25,0.47,,9.1,0.83,0.32,,0.38,0.6,127.7,7.8,21.0,6.9,6.5,,,2.5,1.0,19.2,2.0,0.85,,,2.12,0.98,,1844.0,,26.0,1.5,,4590.0,300.2,26.4,3.09,12.3,35.5,,,,266.0,,,,4.08,4.35,,560.805,,,,,,,11222.665
2018-07-24 19:18:18,44.13216689,243.5523182,3.845185303,0.012444525,5.034528071e-05,650.466836,280.5558364,7.957814629,235.2296945,21.33379561,0.6855956637,1.55547056,,,,,,,,,,,,,408.675,1891.439286,166.2642857,332.0857143,1.621642857,,,47.06057143,,,0.03972855909,0.21842936,0.8216356425,3.9903922,0.007731304607,0.02696750846,0.05809021781,0.1145797753,0.09366264197,0.04274449555,0.01682074994,113.2,25.4,233.0,,18.3,9.0,5.6,2.18,1.1,0.33,0.41,,10.4,0.87,0.42,,0.36,,166.0,9.2,25.4,7.4,6.7,,,2.4,0.6,13.3,3.2,0.98,,,1.83,0.96,,1919.0,,27.6,1.5,,4902.0,294.5,27.0,2.5,11.9,25.4,,0.6,,304.0,,4.8,2.2,3.18,,,,,,,,,,10798.67893
2018-07-24 19:19:59,44.25582689,243.5591428,3.835593018,0.01255451179,5.005549536e-05,651.1297869,280.7487398,9.595010849,242.924396,20.26691289,0.7786946654,1.527004839,,,,,,,,,,,,,408.7357143,1892.589286,168.1928571,332.05,,,,47.404,,,0.0424979164,0.2267352243,0.8203407607,3.93096867,0.0155726353,0.03401143961,0.04037367478,0.1213710896,0.08917552998,0.05112048146,0.008907603602,115.6,24.4,238.0,,18.2,8.85,6.0,2.61,1.06,0.3,,,8.7,0.7,0.39,,0.3,,188.2,9.6,25.4,8.2,8.1,,,1.5,0.5,13.0,1.6,1.04,,,2.05,1.04,,1932.0,,24.9,3.9,,4974.0,294.1,27.4,1.78,11.9,30.1,,0.7,,319.0,,,2.7,2.31,,218.5710714,352.9992857,,,,,,,10916.43643
2018-07-24 19:21:39,44.37256211,243.565391,3.833085711,0.01254143286,5.01898875e-05,651.0582645,280.7879335,11.31911899,245.5458937,20.78677418,0.7480133235,1.570456153,,,,,,,,,,,,,408.7821429,1890.739286,158.4535714,332.1214286,,,,46.92658929,,,,,,,,,,,,,,116.2,27.9,242.0,543.5,19.2,9.01,5.3,2.91,0.98,0.32,,0.14,9.6,0.9,0.46,,0.36,,187.8,8.3,24.1,6.4,5.9,,,2.6,0.6,17.9,,0.98,,,1.93,0.94,,1851.0,10.4,24.3,5.2,,4807.0,288.4,29.3,2.4,12.4,28.7,,0.7,,307.0,,,,3.77,,,,,,,,,,10973.08786
2018-07-24 19:23:19,44.48970918,243.5712671,3.832281738,0.01224357357,5.03464575e-05,651.0067836,280.8889406,12.1157126,238.4218333,18.98940577,0.5222659145,1.565375962,,,,,,,,,,,,,408.8,1889.689286,155.6785714,332.1214286,2.998666667,,,46.84721429,,,,,,,,,,,,,,116.1,26.4,244.0,543.5,18.7,8.72,5.3,2.68,1.06,0.22,0.31,,9.9,0.81,0.4,,0.46,,191.3,9.2,22.9,7.9,4.5,,,3.2,0.6,19.0,1.9,0.97,,,1.88,1.18,0.11,1822.0,12.9,23.4,2.9,,4781.0,282.1,31.2,2.57,12.3,30.8,,,,294.0,,,3.1,3.8,,204.0845455,484.7486364,,,,3.868181818,,,10996.97286
2018-07-24 19:24:59,44.60927739,243.5777387,3.832382438,0.01206111143,5.004540286e-05,650.995636,280.8158884,11.6962859,240.8493537,7.360681436,0.236222,1.665665764,,,,,,,,,,,,,408.6178571,1876.828571,93.56785714,332.2857143,1.12175,,,46.43023214,,,,,,,,,,,,,,109.8,25.9,233.0,523.2,16.7,8.35,4.9,2.59,0.93,0.17,0.52,0.19,8.4,0.67,0.43,,0.37,,87.4,5.0,9.9,6.7,3.1,,,1.5,0.7,19.6,,0.64,,,1.58,0.68,,1370.0,9.3,21.4,6.5,,3331.0,223.1,22.2,2.18,12.1,38.9,,,,180.0,,,,1.97,,,600.2532143,,,,,,,8598.74075
